U(6)	U(6)_prev	U(6)_new
1e-11	0.0	2.399228134468e-12
1e-11	1e-13	2.475236491391e-12
1e-11	3.162277660168379e-13	2.639587633077e-12
1e-11	1e-12	3.159311078523e-12
1e-11	3.1622776601683794e-12	4.802817074034e-12
1e-11	1e-11	1.000000000000e-11
1e-11	3.1622776601683794e-11	2.643454189779e-11
1e-11	1e-10	7.840119023450e-11
1e-11	3.1622776601683795e-10	2.426948219728e-10
1e-11	1e-09	7.618441374930e-10
1e-11	3.1622776601683795e-09	2.399630563401e-09
1e-11	1e-08	7.540299579359e-09
1e-11	3.162277660168379e-08	2.342992680339e-08
3.1622776601683794e-11	0.0	7.587086411896e-12
3.1622776601683794e-11	1e-13	7.663095959558e-12
3.1622776601683794e-11	3.162277660168379e-13	7.827449675951e-12
3.1622776601683794e-11	1e-12	8.347181263316e-12
3.1622776601683794e-11	3.1622776601683794e-12	9.990713005700e-12
3.1622776601683794e-11	1e-11	1.518797734900e-11
3.1622776601683794e-11	3.1622776601683794e-11	3.162277660168e-11
3.1622776601683794e-11	1e-10	8.359023902053e-11
3.1622776601683794e-11	3.1622776601683795e-10	2.478864439292e-10
3.1622776601683794e-11	1e-09	7.670438800282e-10
3.1622776601683794e-11	3.1622776601683795e-09	2.404855847110e-09
3.1622776601683794e-11	1e-08	7.545604257629e-09
3.1622776601683794e-11	3.162277660168379e-08	2.343546980296e-08
1e-10	0.0	2.399308267285e-11
1e-10	1e-13	2.406909598596e-11
1e-10	3.162277660168379e-13	2.423345784430e-11
1e-10	1e-12	2.475321517870e-11
1e-10	3.1622776601683794e-12	2.639682833992e-11
1e-10	1e-11	3.159435014769e-11
1e-10	3.1622776601683794e-11	4.802971850720e-11
1e-10	1e-10	1.000000000000e-10
1e-10	3.1622776601683795e-10	2.643043397451e-10
1e-10	1e-09	7.834867464593e-10
1e-10	3.1622776601683795e-09	2.421380192057e-09
1e-10	1e-08	7.562379672341e-09
1e-10	3.162277660168379e-08	2.345299885461e-08
3.1622776601683795e-10	0.0	7.587887741954e-11
3.1622776601683795e-10	1e-13	7.595490264008e-11
3.1622776601683795e-10	3.162277660168379e-13	7.611929024558e-11
3.1622776601683795e-10	1e-12	7.663912899953e-11
3.1622776601683795e-10	3.1622776601683794e-12	7.828299963052e-11
3.1622776601683795e-10	1e-11	8.348133561497e-11
3.1622776601683795e-10	3.1622776601683794e-11	9.991952350728e-11
3.1622776601683795e-10	1e-10	1.518976998727e-10
3.1622776601683795e-10	3.1622776601683795e-10	3.162277660168e-10
3.1622776601683795e-10	1e-09	8.354920964392e-10
3.1622776601683795e-10	3.1622776601683795e-09	2.473640240028e-09
3.1622776601683795e-10	1e-08	7.615433669296e-09
3.1622776601683795e-10	3.162277660168379e-08	2.350843606718e-08
1e-09	0.0	2.400109603298e-10
1e-09	1e-13	2.400870232053e-10
1e-09	3.162277660168379e-13	2.402514922313e-10
1e-09	1e-12	2.407715884589e-10
