Cs	Cs_prev	Cs_new
0.0	0.0	0.0
0.0	1.0190000000000002e-10	1.018964071242e-10
0.0	1.293071262228114e-10	1.293025631914e-10
0.0	1.6408570060846007e-10	1.640799041582e-10
0.0	2.0821835524962216e-10	2.082109898858e-10
0.0	2.642209729555356e-10	2.642116106523e-10
0.0	3.352861108996612e-10	3.352742048053e-10
0.0	4.254649996355057e-10	4.254498498412e-10
0.0	5.398984927503093e-10	5.398792014522e-10
0.0	6.851101329692824e-10	6.850855453045e-10
0.0	8.693780416132098e-10	8.693466669074e-10
0.0	1.1032068318176635e-09	1.103166737676e-09
0.0	1.399926448005043e-09	1.399875116185e-09
0.0	1.7764520698217872e-09	1.776386197442e-09
0.0	2.254248400600789e-09	2.254163621819e-09
0.0	2.8605533118160644e-09	2.860443801724e-09
0.0	3.6299306001774235e-09	3.629788501138e-09
0.0	4.606240375831086e-09	4.606054951259e-09
0.0	5.845139408147207e-09	5.844895770379e-09
0.0	7.417253967018842e-09	7.416931127833e-09
0.0	9.412206034739451e-09	9.411773859838e-09
0.0	1.1943722411866156e-08	1.194313677187e-08
0.0	1.5156117973320886e-08	1.515531287891e-08
0.0	1.9232522667556665e-08	1.923139728478e-08
0.0	2.4405321257672484e-08	2.440371811322e-08
0.0	3.096940094577146e-08	3.096706880294e-08
0.0	3.929896209165579e-08	3.929549195266e-08
0.0	4.986885035928572e-08	4.986356425307e-08
0.0	6.328162637875014e-08	6.327338366807e-08
0.0	8.030191609167633e-08	8.028877816905e-08
0.0	1.019e-07	1.018786602306e-07
1.0190000000000002e-10	0.0	3.581716645679e-15
1.0190000000000002e-10	1.0190000000000002e-10	1.019e-10
1.0190000000000002e-10	1.293071262228114e-10	1.293061590713e-10
1.0190000000000002e-10	1.6408570060846007e-10	1.640835038519e-10
1.0190000000000002e-10	2.0821835524962216e-10	2.082145944217e-10
1.0190000000000002e-10	2.642209729555356e-10	2.642152213369e-10
1.0190000000000002e-10	3.352861108996612e-10	3.352778233023e-10
1.0190000000000002e-10	4.254649996355057e-10	4.254534782566e-10
1.0190000000000002e-10	5.398984927503093e-10	5.398828424757e-10
1.0190000000000002e-10	6.851101329692824e-10	6.85089202355e-10
1.0190000000000002e-10	8.693780416132098e-10	8.693503443423e-10
1.0190000000000002e-10	1.1032068318176635e-09	1.103170441056e-09
1.0190000000000002e-10	1.399926448005043e-09	1.399878852601e-09
1.0190000000000002e-10	1.7764520698217872e-09	1.776389975981e-09
1.0190000000000002e-10	2.254248400600789e-09	2.254167454115e-09
1.0190000000000002e-10	2.8605533118160644e-09	2.860447702739e-09
1.0190000000000002e-10	3.6299306001774235e-09	3.629792490174e-09
1.0190000000000002e-10	4.606240375831086e-09	4.60605905324e-09
1.0190000000000002e-10	5.845139408147207e-09	5.844900017772e-09
1.0190000000000002e-10	7.417253967018842e-09	7.416935563054e-09
1.0190000000000002e-10	9.412206034739451e-09	9.411778538696e-09
1.0190000000000002e-10	1.1943722411866156e-08	1.194314176835e-08
