,time,cs_1mm,cs_5mm,cs_7mm,cs_9mm
91,14560000.0,3.823210798547e-10,1.019459918361e-10,1.019457811194e-10,1.021445507353e-10
92,14720000.0,3.948150193422e-10,1.019460008054e-10,1.019457922955e-10,1.021510054046e-10
93,14880000.0,4.076795714411e-10,1.019460096802e-10,1.019458033554e-10,1.021575738606e-10
94,15040000.0,4.209193048046e-10,1.019460184617e-10,1.019458143002e-10,1.021642559815e-10
95,15200000.0,4.345386985743e-10,1.01946027151e-10,1.019458251312e-10,1.021710516201e-10
96,15360000.0,4.485421407982e-10,1.01946035749e-10,1.019458358495e-10,1.021779606044e-10
97,15520000.0,4.629339269296e-10,1.019460442569e-10,1.019458464563e-10,1.021849827385e-10
98,15680000.0,4.777182584058e-10,1.019460526755e-10,1.019458569528e-10,1.021921178029e-10
99,15840000.0,4.928992413052e-10,1.01946061006e-10,1.0194586734e-10,1.021993655553e-10
100,16000000.0,5.084808850822e-10,1.019460692492e-10,1.019458776192e-10,1.02206725731e-10
101,16160000.0,5.24467101378e-10,1.019460774061e-10,1.019458877914e-10,1.022141980437e-10
102,16320000.0,5.408617029072e-10,1.019460854777e-10,1.019458978578e-10,1.022217821862e-10
103,16480000.0,5.576684024177e-10,1.019460934648e-10,1.019459078195e-10,1.022294778305e-10
104,16640000.0,5.748908117246e-10,1.019461013685e-10,1.019459176775e-10,1.022372846292e-10
105,16800000.0,5.925324408139e-10,1.019461091895e-10,1.019459274329e-10,1.02245202215e-10
106,16960000.0,6.105966970198e-10,1.019461169288e-10,1.019459370869e-10,1.022532302022e-10
107,17120000.0,6.290868842682e-10,1.019461245872e-10,1.019459466404e-10,1.022613681869e-10
108,17280000.0,6.480062023912e-10,1.019461321657e-10,1.019459560945e-10,1.022696157475e-10
109,17440000.0,6.67357746507e-10,1.01946139665e-10,1.019459654502e-10,1.022779724454e-10
110,17600000.0,6.8714450646e-10,1.01946147086e-10,1.019459747087e-10,1.022864378252e-10
111,17760000.0,7.073693661549e-10,1.019461544296e-10,1.019459838708e-10,1.022950114157e-10
112,17920000.0,7.280351034164e-10,1.019461616965e-10,1.019459929376e-10,1.023036927302e-10
113,18080000.0,7.49144389613e-10,1.019461688876e-10,1.019460019102e-10,1.02312481267e-10
114,18240000.0,7.706997892692e-10,1.019461760037e-10,1.019460107894e-10,1.023213765097e-10
115,18400000.0,7.927037598243e-10,1.019461830455e-10,1.019460195762e-10,1.023303779282e-10
116,18560000.0,8.151586514506e-10,1.019461900138e-10,1.019460282717e-10,1.023394849789e-10
117,18720000.0,8.380667069303e-10,1.019461969095e-10,1.019460368768e-10,1.02348697105e-10
118,18880000.0,8.614300615876e-10,1.019462037332e-10,1.019460453925e-10,1.023580137372e-10
119,19040000.0,8.852507432776e-10,1.019462104857e-10,1.019460538196e-10,1.023674342942e-10
120,19200000.0,9.095306724295e-10,1.019462171679e-10,1.019460621592e-10,1.023769581832e-10
121,19360000.0,9.342716621425e-10,1.019462237803e-10,1.01946070412e-10,1.023865847999e-10
122,19520000.0,9.594754183341e-10,1.019462303238e-10,1.019460785791e-10,1.023963135297e-10
123,19680000.0,9.851435399402e-10,1.01946236799e-10,1.019460866614e-10,1.024061437473e-10
124,19840000.0,1.011277519163e-09,1.019462432067e-10,1.019460946597e-10,1.024160748177e-10
125,20000000.0,1.037878741769e-09,1.019462495476e-10,1.01946102575e-10,1.024261060965e-10
126,20160000.0,1.064948487435e-09,1.019462558224e-10,1.019461104081e-10,1.024362369302e-10
127,20320000.0,1.092487930141e-09,1.019462620318e-10,1.019461181598e-10,1.024464666566e-10
128,20480000.0,1.120498138601e-09,1.019462681764e-10,1.019461258312e-10,1.024567946054e-10
129,20640000.0,1.148980076754e-09,1.019462742569e-10,1.019461334229e-10,1.024672200982e-10
130,20800000.0,1.177934604275e-09,1.019462802741e-10,1.019461409359e-10,1.024777424492e-10
131,20960000.0,1.207362477154e-09,1.019462862285e-10,1.019461483709e-10,1.024883609656e-10
132,21120000.0,1.237264348291e-09,1.019462921209e-10,1.019461557289e-10,1.024990749475e-10
133,21280000.0,1.267640768148e-09,1.019462979518e-10,1.019461630107e-10,1.025098836889e-10
134,21440000.0,1.29849218543e-09,1.019463037219e-10,1.019461702171e-10,1.025207864776e-10
135,21600000.0,1.329818947807e-09,1.019463094318e-10,1.019461773488e-10,1.025317825957e-10
136,21760000.0,1.361621302672e-09,1.019463150823e-10,1.019461844067e-10,1.025428713197e-10
137,21920000.0,1.393899397934e-09,1.019463206738e-10,1.019461913916e-10,1.025540519213e-10
138,22080000.0,1.426653282842e-09,1.01946326207e-10,1.019461983043e-10,1.025653236672e-10
139,22240000.0,1.459882908844e-09,1.019463316826e-10,1.019462051455e-10,1.025766858197e-10
140,22400000.0,1.493588130481e-09,1.01946337101e-10,1.019462119161e-10,1.025881376369e-10
141,22560000.0,1.527768706304e-09,1.01946342463e-10,1.019462186167e-10,1.025996783731e-10
142,22720000.0,1.562424299829e-09,1.01946347769e-10,1.019462252483e-10,1.02611307279e-10
143,22880000.0,1.597554480514e-09,1.019463530198e-10,1.019462318114e-10,1.026230236018e-10
144,23040000.0,1.633158724765e-09,1.019463582158e-10,1.01946238307e-10,1.02634826586e-10
145,23200000.0,1.669236416972e-09,1.019463633577e-10,1.019462447356e-10,1.026467154729e-10
146,23360000.0,1.705786850565e-09,1.019463684459e-10,1.019462510981e-10,1.026586895016e-10
147,23520000.0,1.742809229098e-09,1.019463734811e-10,1.019462573952e-10,1.026707479088e-10
148,23680000.0,1.780302667354e-09,1.019463784638e-10,1.019462636277e-10,1.026828899293e-10
149,23840000.0,1.818266192476e-09,1.019463833946e-10,1.019462697962e-10,1.026951147959e-10
150,24000000.0,1.856698745112e-09,1.01946388274e-10,1.019462759014e-10,1.027074217401e-10
151,24160000.0,1.895599180589e-09,1.019463931025e-10,1.019462819441e-10,1.027198099918e-10
