Cs	Cs_prev	Cs_new
0.0	2.412600792120572e-07	2.411287492253e-07
0.0	2.897466333543717e-07	2.895561637314e-07
0.0	3.4797763398892665e-07	3.477055410167e-07
0.0	4.179114433693365e-07	4.17529971471e-07
0.0	5.018999999999996e-07	5.013763333186e-07
1.019e-11	0.0	3.5817164677730003e-16
1.019e-11	1.019e-11	1.019e-11
1.019e-11	1.2237906095048205e-11	1.223783408561e-11
1.019e-11	1.4697384258215702e-11	1.469722575565e-11
1.019e-11	1.7651149008330077e-11	1.765088661251e-11
1.019e-11	2.1198538177982996e-11	2.1198150984620002e-11
1.019e-11	2.545885373645242e-11	2.5458316628970003e-11
1.019e-11	3.057537402495308e-11	3.0574656827900005e-11
1.019e-11	3.672017233938683e-11	3.671923877519e-11
1.019e-11	4.409990391397474e-11	4.4098710397160005e-11
1.019e-11	5.296275592736719e-11	5.296125005999e-11
1.019e-11	6.360679426634714e-11	6.360491305143001e-11
1.019e-11	7.638998775648742e-11	7.638765544087e-11
1.019e-11	9.174224698388373e-11	9.173937243707e-11
1.019e-11	1.1017988258464067e-10	1.101763561672e-10
1.019e-11	1.3232296924772027e-10	1.323186589839e-10
1.019e-11	1.5891619939858214e-10	1.589109463695e-10
1.019e-11	1.908539278922281e-10	1.908475405971e-10
1.019e-11	2.2921024999177514e-10	2.29202497601e-10
1.019e-11	2.7527512418271516e-10	2.752657281036e-10
1.019e-11	3.305977546664182e-10	3.30586378527e-10
1.019e-11	3.970386925261443e-10	3.970249296443e-10
1.019e-11	4.768324077758264e-10	4.768157658466e-10
1.019e-11	5.726624366473305e-10	5.726423188151e-10
1.019e-11	6.877516313887657e-10	6.877273126886e-10
1.019e-11	8.25970547757794e-10	8.259411458071e-10
1.019e-11	9.919676153812966e-10	9.919320533824e-10
1.019e-11	1.1913254687306332e-09	1.191282428839e-09
1.019e-11	1.430748696267397e-09	1.430696559959e-09
1.019e-11	1.7182893219365112e-09	1.718226093438e-09
1.019e-11	2.063617602157319e-09	2.063540809008e-09
1.019e-11	2.4783472454651434e-09	2.478253808259e-09
1.019e-11	2.9764259922398243e-09	2.976312052163e-09
1.019e-11	3.5746046900776884e-09	3.574465378171e-09
1.019e-11	4.293000640244322e-09	4.292829765276e-09
1.019e-11	5.155774161068875e-09	5.155563782463e-09
1.019e-11	6.191941121730798e-09	6.191680958853e-09
1.019e-11	7.436348772699602e-09	7.436025378012e-09
1.019e-11	8.93084769090527e-09	8.930443279841e-09
1.019e-11	1.0725699253236212e-08	1.072519002934e-08
1.019e-11	1.2881265972996411e-08	1.288061970465e-08
1.019e-11	1.547004154689596e-08	1.546921402301e-08
1.019e-11	1.857908888492705e-08	1.857801867869e-08
1.019e-11	2.2312968116319047e-08	2.231156877447e-08
1.019e-11	2.679725304311257e-08	2.679540133332e-08
1.019e-11	3.218275430292997e-08	3.21802723962e-08
1.019e-11	3.865059126980035e-08	3.864721956547e-08
1.019e-11	4.6418283265741566e-08	4.641363878362e-08
1.019e-11	5.57470649361622e-08	5.574057753858e-08
1.019e-11	6.695067181190456e-08	6.694148669314e-08
1.019e-11	8.040589152448271e-08	8.039272123204e-08
1.019e-11	9.656523552161449e-08	9.654613850464e-08
1.019e-11	1.1597215744452713e-07	1.15944214087e-07
1.019e-11	1.3927932997509995e-07	1.392381847428e-07
1.019e-11	1.6727059482006927e-07	1.67209841209e-07
1.019e-11	2.0088732403050682e-07	2.007977369704e-07
1.019e-11	2.412600792120572e-07	2.411287547706e-07
1.019e-11	2.897466333543717e-07	2.895561704277e-07
1.019e-11	3.4797763398892665e-07	3.477055489817e-07
1.019e-11	4.179114433693365e-07	4.175299807691e-07
1.019e-11	5.018999999999996e-07	5.013763439468e-07
1.2237906095048205e-11	0.0	4.301541691886e-16
1.2237906095048205e-11	1.019e-11	1.019007200494e-11
1.2237906095048205e-11	1.2237906095048205e-11	1.223790609505e-11
1.2237906095048205e-11	1.4697384258215702e-11	1.4697297770390003e-11
1.2237906095048205e-11	1.7651149008330077e-11	1.765095863399e-11
1.2237906095048205e-11	2.1198538177982996e-11	2.119822301376e-11
1.2237906095048205e-11	2.545885373645242e-11	2.5458388667510002e-11
1.2237906095048205e-11	3.057537402495308e-11	3.057472887303e-11
1.2237906095048205e-11	3.672017233938683e-11	3.6719310844070005e-11
1.2237906095048205e-11	4.409990391397474e-11	4.409878247672e-11
1.2237906095048205e-11	5.296275592736719e-11	5.2961322159040004e-11
1.2237906095048205e-11	6.360679426634714e-11	6.360498517390001e-11
1.2237906095048205e-11	7.638998775648742e-11	7.638772758820001e-11
1.2237906095048205e-11	9.174224698388373e-11	9.173944462544001e-11
1.2237906095048205e-11	1.1017988258464067e-10	1.101764283919e-10
1.2237906095048205e-11	1.3232296924772027e-10	1.323187312581e-10
1.2237906095048205e-11	1.5891619939858214e-10	1.589110186942e-10
1.2237906095048205e-11	1.908539278922281e-10	1.908476130092e-10
1.2237906095048205e-11	2.2921024999177514e-10	2.292025700643e-10
1.2237906095048205e-11	2.7527512418271516e-10	2.752658007186e-10
1.2237906095048205e-11	3.305977546664182e-10	3.30586451242e-10
1.2237906095048205e-11	3.970386925261443e-10	3.970250025025e-10
1.2237906095048205e-11	4.768324077758264e-10	4.768158388813e-10
1.2237906095048205e-11	5.726624366473305e-10	5.726423920529e-10
1.2237906095048205e-11	6.877516313887657e-10	6.877273862021e-10
1.2237906095048205e-11	8.25970547757794e-10	8.259412196053e-10
1.2237906095048205e-11	9.919676153812966e-10	9.919321275754e-10
1.2237906095048205e-11	1.1913254687306332e-09	1.19128250346e-09
1.2237906095048205e-11	1.430748696267397e-09	1.430696635124e-09
1.2237906095048205e-11	1.7182893219365112e-09	1.718226169244e-09
1.2237906095048205e-11	2.063617602157319e-09	2.063540885595e-09
1.2237906095048205e-11	2.4783472454651434e-09	2.478253885786e-09
1.2237906095048205e-11	2.9764259922398243e-09	2.976312130828e-09
1.2237906095048205e-11	3.5746046900776884e-09	3.574465458212e-09
1.2237906095048205e-11	4.293000640244322e-09	4.292829846968e-09
1.2237906095048205e-11	5.155774161068875e-09	5.15556386621e-09
1.2237906095048205e-11	6.191941121730798e-09	6.19168104504e-09
1.2237906095048205e-11	7.436348772699602e-09	7.436025467194e-09
1.2237906095048205e-11	8.93084769090527e-09	8.930443372662e-09
1.2237906095048205e-11	1.0725699253236212e-08	1.072519012669e-08
1.2237906095048205e-11	1.2881265972996411e-08	1.288061980747e-08
1.2237906095048205e-11	1.547004154689596e-08	1.546921413263e-08
1.2237906095048205e-11	1.857908888492705e-08	1.857801879672e-08
1.2237906095048205e-11	2.2312968116319047e-08	2.231156890295e-08
1.2237906095048205e-11	2.679725304311257e-08	2.679540147491e-08
1.2237906095048205e-11	3.218275430292997e-08	3.218027255417e-08
1.2237906095048205e-11	3.865059126980035e-08	3.864721974416e-08
1.2237906095048205e-11	4.6418283265741566e-08	4.641363898856e-08
1.2237906095048205e-11	5.57470649361622e-08	5.574057777693e-08
1.2237906095048205e-11	6.695067181190456e-08	6.694148697406e-08
1.2237906095048205e-11	8.040589152448271e-08	8.039272156757e-08
1.2237906095048205e-11	9.656523552161449e-08	9.654613890964e-08
1.2237906095048205e-11	1.1597215744452713e-07	1.159442145804e-07
1.2237906095048205e-11	1.3927932997509995e-07	1.392381853477e-07
1.2237906095048205e-11	1.6727059482006927e-07	1.672098419526e-07
1.2237906095048205e-11	2.0088732403050682e-07	2.007977378836e-07
1.2237906095048205e-11	2.412600792120572e-07	2.411287558851e-07
1.2237906095048205e-11	2.897466333543717e-07	2.895561717735e-07
1.2237906095048205e-11	3.4797763398892665e-07	3.477055505825e-07
1.2237906095048205e-11	4.179114433693365e-07	4.175299826378e-07
1.2237906095048205e-11	5.018999999999996e-07	5.013763460827e-07
1.4697384258215702e-11	0.0	5.166031733008e-16
1.4697384258215702e-11	1.019e-11	1.0190158480870001e-11
1.4697384258215702e-11	1.2237906095048205e-11	1.223799257638e-11
1.4697384258215702e-11	1.4697384258215702e-11	1.469738425822e-11
1.4697384258215702e-11	1.7651149008330077e-11	1.765104512949e-11
1.4697384258215702e-11	2.1198538177982996e-11	2.119830951894e-11
1.4697384258215702e-11	2.545885373645242e-11	2.5458475183750002e-11
1.4697384258215702e-11	3.057537402495308e-11	3.057481540282e-11
1.4697384258215702e-11	3.672017233938683e-11	3.6719397384500003e-11
1.4697384258215702e-11	4.409990391397474e-11	4.4098869048940007e-11
1.4697384258215702e-11	5.296275592736719e-11	5.2961408748000004e-11
1.4697384258215702e-11	6.360679426634714e-11	6.360507179098e-11
1.4697384258215702e-11	7.638998775648742e-11	7.638781423909e-11
1.4697384258215702e-11	9.174224698388373e-11	9.173953131297001e-11
1.4697384258215702e-11	1.1017988258464067e-10	1.101765151369e-10
1.4697384258215702e-11	1.3232296924772027e-10	1.323188180565e-10
1.4697384258215702e-11	1.5891619939858214e-10	1.589111055639e-10
1.4697384258215702e-11	1.908539278922281e-10	1.908476999537e-10
1.4697384258215702e-11	2.2921024999177514e-10	2.292026571308e-10
1.4697384258215702e-11	2.7527512418271516e-10	2.752658878671e-10
1.4697384258215702e-11	3.305977546664182e-10	3.305865385625e-10
1.4697384258215702e-11	3.970386925261443e-10	3.970250900076e-10
1.4697384258215702e-11	4.768324077758264e-10	4.76815926594e-10
1.4697384258215702e-11	5.726624366473305e-10	5.726424800206e-10
1.4697384258215702e-11	6.877516313887657e-10	6.877274744653e-10
1.4697384258215702e-11	8.25970547757794e-10	8.259413082619e-10
1.4697384258215702e-11	9.919676153812966e-10	9.91932216649e-10
1.4697384258215702e-11	1.1913254687306332e-09	1.191282593098e-09
1.4697384258215702e-11	1.430748696267397e-09	1.430696725386e-09
1.4697384258215702e-11	1.7182893219365112e-09	1.718226260291e-09
1.4697384258215702e-11	2.063617602157319e-09	2.063540977573e-09
1.4697384258215702e-11	2.4783472454651434e-09	2.478253978895e-09
1.4697384258215702e-11	2.9764259922398243e-09	2.976312225302e-09
1.4697384258215702e-11	3.5746046900776884e-09	3.574465554338e-09
1.4697384258215702e-11	4.293000640244322e-09	4.292829945095e-09
1.4697384258215702e-11	5.155774161068875e-09	5.155563966748e-09
1.4697384258215702e-11	6.191941121730798e-09	6.191681148569e-09
1.4697384258215702e-11	7.436348772699602e-09	7.436025574299e-09
1.4697384258215702e-11	8.93084769090527e-09	8.93044348416e-09
1.4697384258215702e-11	1.0725699253236212e-08	1.072519024354e-08
1.4697384258215702e-11	1.2881265972996411e-08	1.288061993099e-08
1.4697384258215702e-11	1.547004154689596e-08	1.546921426428e-08
1.4697384258215702e-11	1.857908888492705e-08	1.857801893847e-08
1.4697384258215702e-11	2.2312968116319047e-08	2.231156905726e-08
1.4697384258215702e-11	2.679725304311257e-08	2.67954016449e-08
1.4697384258215702e-11	3.218275430292997e-08	3.218027274393e-08
1.4697384258215702e-11	3.865059126980035e-08	3.864721995877e-08
1.4697384258215702e-11	4.6418283265741566e-08	4.641363923469e-08
1.4697384258215702e-11	5.57470649361622e-08	5.574057806318e-08
1.4697384258215702e-11	6.695067181190456e-08	6.694148731152e-08
1.4697384258215702e-11	8.040589152448271e-08	8.039272197038e-08
1.4697384258215702e-11	9.656523552161449e-08	9.654613939612e-08
1.4697384258215702e-11	1.1597215744452713e-07	1.15944215173e-07
1.4697384258215702e-11	1.3927932997509995e-07	1.392381860742e-07
1.4697384258215702e-11	1.6727059482006927e-07	1.672098428458e-07
1.4697384258215702e-11	2.0088732403050682e-07	2.007977389801e-07
1.4697384258215702e-11	2.412600792120572e-07	2.411287572236e-07
1.4697384258215702e-11	2.897466333543717e-07	2.895561733898e-07
1.4697384258215702e-11	3.4797763398892665e-07	3.477055525049e-07
1.4697384258215702e-11	4.179114433693365e-07	4.17529984882e-07
1.4697384258215702e-11	5.018999999999996e-07	5.01376348648e-07
1.7651149008330077e-11	0.0	6.204260189768e-16
1.7651149008330077e-11	1.019e-11	1.019026233603e-11
1.7651149008330077e-11	1.2237906095048205e-11	1.2238096438060001e-11
1.7651149008330077e-11	1.4697384258215702e-11	1.4697488127690003e-11
